profile,method,solver,runs,successful_runs,success_rate_pct,median_wall_time_sec,median_simulation_time_sec,median_offline_training_time_sec,median_offline_preprocess_time_sec,median_allocated_mb,median_peak_rss_mb,median_total_cost,startup_shutdown_cost,fuel_cost,reserve_cost,load_shed_cost,wind_curtail_cost,physical_units,equivalent_units,state_reduction_pct,median_integer_variables,cluster_attempts,cluster_successes,cluster_fallbacks,mean_overlap_hours,max_overlap_hours,ramp_event_intervals,reference_repairs,mean_pre_repair_cost_gap_pct,speedup_vs_standard,wall_time_delta_pct,cost_delta_pct,allocated_delta_pct,peak_rss_delta_pct,integer_reduction_pct
baseline,standard,gurobi,1,0,0.0,,,0.0,0.0,,5296.08984375,0.0,,,,,,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
baseline,clustered_pcm,gurobi,1,0,0.0,,,0.0,0.0,,4947.53125,0.0,,,,,,1080.0,31.0,97.12962962962963,2232.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,-6.5814327935040495,97.12962962962963
baseline,adaptive_overlap,gurobi,1,1,100.0,3883.2446002,3836.9040002822876,0.0,0.0,5.945165633971214e6,7440.95703125,3.047461559790856e8,704861.9999999993,3.040406013127738e8,0.0,685.3823099345177,7.284001899167951,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,,,,,40.49907102749006,0.0
baseline,clustered_adaptive_overlap,gurobi,1,1,100.0,4837.6502592,4808.865000009537,0.0,0.10199999809265137,4.855368050963402e6,10373.015625,3.0741356928977144e8,755520.0,3.066571712554258e8,187.46588352357887,684.9602740011004,5.608188086093467,1080.0,31.0,97.12962962962963,2232.0,7.0,2.0,5.0,12.0,12.0,0.0,0.0,0.0,,,,,95.86177597121697,97.12962962962963
