profile,method,solver,runs,successful_runs,success_rate_pct,median_wall_time_sec,median_simulation_time_sec,median_offline_training_time_sec,median_offline_preprocess_time_sec,median_allocated_mb,median_peak_rss_mb,median_total_cost,startup_shutdown_cost,fuel_cost,reserve_cost,load_shed_cost,wind_curtail_cost,physical_units,equivalent_units,state_reduction_pct,median_integer_variables,cluster_attempts,cluster_successes,cluster_fallbacks,mean_overlap_hours,max_overlap_hours,ramp_event_intervals,reference_repairs,mean_pre_repair_cost_gap_pct
extreme_ramp,standard,gurobi,1,0,0.0,,,0.0,0.0,,5400.33203125,0.0,,,,,,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
extreme_ramp,clustered_pcm,gurobi,1,0,0.0,,,0.0,0.0,,5446.640625,0.0,,,,,,1080.0,31.0,97.12962962962963,2232.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
extreme_ramp,adaptive_overlap,gurobi,1,1,100.0,5437.8709271,5392.209999799728,0.0,0.0,5.9451768948020935e6,7602.96875,3.188578695217e8,1.17151e6,3.1767626287856364e8,0.0,10043.36188914554,53.28124724789721,1080.0,1080.0,0.0,77760.0,0.0,0.0,0.0,12.0,12.0,4.0,0.0,0.0
extreme_ramp,clustered_adaptive_overlap,gurobi,1,1,100.0,5683.4113412,5638.888000249863,0.0,0.007999658584594727,6.053105770245552e6,7678.98828125,3.188578695217e8,1.17151e6,3.1767626287856364e8,0.0,10043.36188914554,53.28124724789721,1080.0,31.0,97.12962962962963,2232.0,7.0,0.0,7.0,12.0,12.0,4.0,0.0,0.0
